Date,Berri,Brebeuf,Cote-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel,Saint-Urbain
03 10 2010,1 748,2 157,0,0,2 221,0,0,1 292,1 520
04 10 2010,3 859,4 035,0,0,5 323,0,0,3 185,2 411
05 10 2010,4 733,4 735,1 131,0,5 959,0,0,3 721,2 648
06 10 2010,2 377,2 443,1 239,0,3 359,1 074,0,1 922,1 966
07 10 2010,2 358,2 485,1 158,0,3 398,1 947,0,2 419,1 813
08 10 2010,2 404,2 487,1 132,1 297,3 215,1 899,203,2 217,1 929
09 10 2010,1 911,2 140,685,1 267,2 123,1 108,672,2 277,1 465
10 10 2010,1 502,1 705,577,832,1 586,804,566,1 802,1 186
11 10 2010,1 905,2 453,834,983,1 837,1 089,1 070,2 352,1 200
12 10 2010,4 075,3 796,1 879,2 617,4 896,2 991,685,2 885,2 270
13 10 2010,4 068,4 044,1 921,2 630,5 219,3 161,879,3 271,2 380
14 10 2010,3 296,3 305,1 592,2 301,4 635,2 715,508,2 600,2 100
15 10 2010,789,815,409,481,1 047,737,77,786,1 238
16 10 2010,1 459,1 562,612,1 115,1 931,1 019,324,1 804,1 339
17 10 2010,1 619,2 036,789,1 052,2 021,1 126,494,2 307,1 327
18 10 2010,3 398,3 194,1 658,2 223,4 364,2 713,512,2 487,2 009
19 10 2010,3 783,3 293,1 745,2 386,4 539,2 753,507,2 770,2 107
20 10 2010,3 598,3 591,1 731,2 542,4 596,2 808,564,2 937,2 099
21 10 2010,1 484,1 368,709,1 003,2 120,1 376,113,1 369,1 425
22 10 2010,2 694,2 466,1 111,1 789,3 491,2 118,364,2 225,1 892
23 10 2010,1 794,1 849,651,1 124,2 184,1 159,501,2 055,1 424
24 10 2010,948,1 131,395,617,1 215,782,125,1 297,944
25 10 2010,1 214,1 358,608,887,1 986,1 396,132,1 300,1 340
26 10 2010,2 355,2 673,1 193,1 764,3 547,2 304,427,2 175,1 768
27 10 2010,3 327,3 691,1 469,2 205,4 814,2 727,678,2 841,2 258
28 10 2010,2 809,2 907,1 318,1 952,4 099,2 558,394,2 424,1 999
29 10 2010,2 174,2 141,897,1 477,3 093,1 854,233,1 899,1 776
30 10 2010,827,998,376,540,1 035,580,136,1 203,1 308
31 10 2010,784,837,305,495,1 037,544,145,1 084,963
01 11 2010,2 273,2 266,1 216,1 490,3 121,1 952,214,2 005,1 694
02 11 2010,2 748,2 603,1 362,1 725,3 513,2 257,224,2 112,1 953
03 11 2010,2 894,2 677,1 405,1 804,3 761,2 291,296,2 239,1 955
04 11 2010,1 579,1 482,761,1 033,2 170,1 554,71,1 270,1 722
05 11 2010,1 008,984,509,702,1 492,1 056,41,1 007,1 465
06 11 2010,1 214,1 287,486,812,1 512,813,211,1 432,1 179
07 11 2010,1 170,1 405,474,746,1 511,892,238,1 432,961
08 11 2010,1 601,1 595,809,964,2 053,1 467,96,1 449,1 001
09 11 2010,2 430,2 151,1 142,1 496,3 084,1 943,149,1 922,1 409
10 11 2010,2 658,2 485,1 273,1 732,3 424,2 110,242,2 119,1 641
11 11 2010,2 433,2 504,1 224,1 597,3 342,1 997,238,2 380,1 517
12 11 2010,2 460,2 346,1 078,1 751,3 137,1 949,264,2 197,1 717
13 11 2010,1 594,1 739,552,1 063,1 842,941,381,1 809,1 374
14 11 2010,1 270,1 407,510,765,1 446,908,361,1 509,1 047
15 11 2010,2 192,2 140,1 145,1 389,3 030,1 897,145,2 004,1 585
16 11 2010,2 693,1 188,1 335,1 682,3 404,2 084,236,2 269,1 643
17 11 2010,941,0,515,641,1 345,972,39,954,512
18 11 2010,2 138,0,1 074,1 433,2 843,1 742,143,1 817,0
19 11 2010,1 803,0,770,1 253,2 352,1 489,113,1 685,0
20 11 2010,896,0,353,599,1 112,597,67,980,0
21 11 2010,687,0,288,429,842,551,67,921,0
22 11 2010,965,0,503,632,1 506,1 017,44,895,0
23 11 2010,1 179,0,487,799,1 683,1 113,59,1 141,0
24 11 2010,1 580,0,733,1 074,2 268,1 413,112,1 462,0
25 11 2010,1 392,0,606,896,2 015,1 285,73,1 286,0
26 11 2010,557,0,201,408,841,479,6,639,0
27 11 2010,267,0,29,163,327,160,2,345,0
28 11 2010,331,0,16,204,441,219,8,500,0
29 11 2010,1 049,0,158,741,1 739,1 109,94,1 175,0
